id,price,used,engine_displacement,vehicle_year,brand,model,engine,doors,traction_control,power,fuel_type,km,transmission,trim,permalink
3588,19800,Usado,1799.0,2012,Honda,Civic,1.8,4,Delantera,140.0,Nafta,36300.0,Manual,1.8 Exs Mt,https://auto.mercadolibre.com.uy/MLU-480665560-honda-civic-18-exs-manual-140cv-_JM
3589,15900,Usado,-1.0,2010,Nissan,Frontier,,4,,-1.0,Diésel,220000.0,,2.7 diésel,https://auto.mercadolibre.com.uy/MLU-480653451-nissan-frontier-27-diesel-_JM
3590,9800,Usado,-1.0,2014,Citroën,C3,,5,,-1.0,Nafta,83600.0,,seduction 1.2,https://auto.mercadolibre.com.uy/MLU-480652192-citron-c3-ceduction-12-_JM
3591,8200,Usado,1599.0,2011,Volkswagen,Gol Sedan,1.6,4,Delantera,101.0,Nafta,110000.0,Manual,1.6 Comfortline 101cv,https://auto.mercadolibre.com.uy/MLU-480651599-volkswagen-gol-sedan-16-comfortline-101cv-2011-_JM
3592,14000,Usado,1984.0,2010,Volkswagen,Tiguan,2.0,5,4x4,200.0,Nafta,227000.0,Automática,2.0 Tsi Exclusive Tiptronic,https://auto.mercadolibre.com.uy/MLU-480640441-volkswagen-tiguan-20-tsi-exclusive-tiptronic-2010-_JM
3593,25000,Usado,-1.0,2019,Citroën,C4 Cactus,,5,,-1.0,Nafta,15000.0,,1.6 Turbo THP Shine,https://auto.mercadolibre.com.uy/MLU-480640403-citron-c4-cactus-16-turbo-thp-shine-_JM
3594,8000,Usado,1598.0,2011,Volkswagen,Saveiro,1.6,2,Delantera,101.0,Nafta,170859.0,Manual,1.6 Cs 101cv Ps+aa,https://auto.mercadolibre.com.uy/MLU-480637570-saveiro-g5-_JM
3595,8950,Usado,-1.0,2012,Great Wall,Voleex C30,1.5,4,Delantera,103.0,Nafta,105000.0,Manual,1.5 Comfort,https://auto.mercadolibre.com.uy/MLU-480636926-great-wall-voleex-c30-2012-15-comfort-_JM
3596,20000,Usado,1798.0,2016,Toyota,Corolla,1.8,4,Delantera,140.0,Nafta,66000.0,Automática,1.8 Xei Cvt 140cv,https://auto.mercadolibre.com.uy/MLU-480624554-toyota-corolla-18-xei-cvt-140cv-2016-_JM
3597,11500,Usado,-1.0,2014,Volkswagen,Saveiro,,3,,-1.0,Nafta,73000.0,,CabExt/dh/AC/²AIRBAG,https://auto.mercadolibre.com.uy/MLU-480623976-volkswagen-saveiro-cabextdhacairbag-_JM
3598,12000,Usado,-1.0,1996,Mercedes-Benz,300 D,300 D,5,Trasera,-1.0,Diésel,370000.0,Automática,W123,https://auto.mercadolibre.com.uy/MLU-480623003-mercedes-benz-300-d-automatico-1982-_JM
3599,5800,Usado,-1.0,1997,Volkswagen,Gol,,2,,-1.0,Nafta,205231.0,,1.6,https://auto.mercadolibre.com.uy/MLU-480620730-volkswagen-gol-16-_JM
3600,7900,Usado,-1.0,2012,Chevrolet,Spark,1.0,5,Delantera,-1.0,Nafta,57000.0,Manual,Ls 1.0 Full,https://auto.mercadolibre.com.uy/MLU-480619993-chevrolet-spark-_JM
3601,8500,Usado,1488.0,2015,BYD,F3,1.5,4,Delantera,101.0,Nafta,155000.0,Manual,1.5 Gli Manual,https://auto.mercadolibre.com.uy/MLU-480619277-byd-f3-15-gli-manual-2015-_JM
3602,160000,Usado,-1.0,2011,Effa,Cargo,1.0,2,Delantera,49.0,Nafta,180000.0,Manual,1.0 2 p Rural,https://auto.mercadolibre.com.uy/MLU-480609238-effa-cargo-2011-10-2-p-rural-_JM
3603,14900,Usado,-1.0,2020,Chery,Tiggo 2,,4,,-1.0,Nafta,7000.0,,SUV  1.5 MT,https://auto.mercadolibre.com.uy/MLU-600009278-chery-tiggo-2-suv-15-mt-_JM
3604,17990,Usado,2488.0,2013,Ford,Ranger,2.5,2,4x2,166.0,Nafta,119000.0,Manual,2.5 Cd 4x2 Xlt,https://auto.mercadolibre.com.uy/MLU-600006046-ford-ranger-2013-25-cd-4x2-xlt-_JM
3605,9900,Usado,1599.0,2012,Volkswagen,Gol,1.6,5,Delantera,101.0,Nafta,150000.0,Manual,1.6 Pack I 101cv,https://auto.mercadolibre.com.uy/MLU-480580925-volkswagen-gol-16-pack-i-101cv-2012-_JM
3606,10900,Usado,-1.0,2013,Peugeot,208,,4,,-1.0,Nafta,80000.0,,Access 1.0cc frances,https://auto.mercadolibre.com.uy/MLU-480577629-peugeot-208-access-10cc-frances-_JM
3607,14900,Usado,2354.0,2008,Honda,CR-V,2.4,5,4x4,170.0,Nafta,140000.0,Automática,2.4 Ex L At 4wd,https://auto.mercadolibre.com.uy/MLU-480575984-honda-cr-v-2008-24-ex-l-at-4wd-_JM
3608,15000,Usado,2488.0,2014,Ford,Ranger,2.5,2,4x2,166.0,Nafta,142000.0,Manual,2.5 Cd 4x2 Xl Ivct 166cv,https://auto.mercadolibre.com.uy/MLU-480567170-ford-ranger-25-cd-4x2-xl-ivct-166cv-2014-_JM
3609,17900,Usado,1995.0,2010,BMW,Serie 3,2.0,4,Trasera,156.0,Nafta,162000.0,Manual,2.0 320i Sedan Active,https://auto.mercadolibre.com.uy/MLU-480566772-bmw-serie-3-2010-20-320i-sedan-active-_JM
3610,15500,Usado,1796.0,2014,Chevrolet,Tracker,1.8,5,Delantera,140.0,Nafta,87480.0,Manual,1.8 Ltz Fwd Mt 140cv,https://auto.mercadolibre.com.uy/MLU-480564974-chevrolet-tracker-2014-18-ltz-fwd-mt-140cv-_JM
3611,19300,Usado,1396.0,2018,Kia,Rio,1.4,4,Delantera,100.0,Nafta,64000.0,Manual,1.4 Ex Plus Sedan 100cv 6mt,https://auto.mercadolibre.com.uy/MLU-480564467-kia-rio-14-ex-plus-sedan-100cv-6mt-2018-_JM
3612,6900,Usado,-1.0,2000,Dodge,Grand Caravan,,5,,-1.0,Nafta,160000.0,,3 filas,https://auto.mercadolibre.com.uy/MLU-480562790-dodge-grand-caravan-3-filas-_JM
3613,9000,Usado,-1.0,2012,Lifan,LF 6430,,5,,-1.0,Nafta,126500.0,,1.8 Manual,https://auto.mercadolibre.com.uy/MLU-480559150-lifan-lf-6430-18-manual-_JM
3614,7100,Usado,-1.0,2015,Chana,CX 20,1.4,5,,-1.0,Nafta,65000.0,Manual,Sedan,https://auto.mercadolibre.com.uy/MLU-480559015-chana-sc7149a4-_JM
3615,24900,Usado,2351.0,2016,Mitsubishi,L200,2.4,4,Delantera,181.0,Diésel,148000.0,Automática,2.4 Di-d High Power 181cv Cuero,https://auto.mercadolibre.com.uy/MLU-480557815-mitsubishi-l200-2016-24-di-d-high-power-181cv-cuero-_JM
3616,11490,Usado,1599.0,2016,Volkswagen,Gol,1.6,5,Delantera,101.0,Nafta,82000.0,Manual,1.6 Trendline 101cv,https://auto.mercadolibre.com.uy/MLU-480557593-volkswagen-gol-16-trendline-101cv-2016-_JM
3617,11300,Usado,1599.0,2013,Volkswagen,Gol Sedan,1.6,4,Delantera,101.0,Nafta,96500.0,Manual,1.6 Comfortline 101cv Abcp Abs,https://auto.mercadolibre.com.uy/MLU-480547623-volkswagen-gol-sedan-16-comfortline-101cv-abcp-abs-2013-_JM
3618,7800,Usado,1.6,2005,Peugeot,307,1.6,5,Delantera,110.0,Nafta,150342.0,Manual,1.6 Xs,https://auto.mercadolibre.com.uy/MLU-480547471-peugeot-307-2005-16-xs-_JM
3619,42668,Nuevo,-1.0,2021,Nissan,NP300 Frontier,2.5L,4,4x4,-1.0,Nafta,0.0,Automática secuencial,Np 300 frontier 4X4  Dc nafta Pro4X At,https://auto.mercadolibre.com.uy/MLU-480535169-nissan-np-300-frontier-_JM
3620,14990,Usado,1587.0,2012,Citroën,DS3,1.6,3,Delantera,156.0,Nafta,104000.0,Manual,1.6 Sport Chic Nav Thp 156cv,https://auto.mercadolibre.com.uy/MLU-480532901-citron-ds3-2012-16-sport-chic-nav-thp-156cv-_JM
3621,7990,Usado,998.0,2016,BYD,F0,1.0,5,Delantera,67.0,Nafta,86000.0,Manual,1.0 Full,https://auto.mercadolibre.com.uy/MLU-480529549-byd-f0-2016-10-full-_JM
3622,15000,Usado,1998.0,2011,Hyundai,Tucson,2.0,5,4x2,166.0,Nafta,120000.0,Manual,2.0 Gl 5mt 2wd,https://auto.mercadolibre.com.uy/MLU-480526800-hyundai-tucson-20-gl-5mt-_JM
3623,14700,Usado,1149.0,2016,Renault,Clio,1.2,3,Delantera,75.0,Nafta,150670.0,Manual,1.2 Iv Fase Ii Expression,https://auto.mercadolibre.com.uy/MLU-480514573-renault-clio-2016-12-iv-fase-ii-expression-_JM
3624,23500,Usado,3.0,2006,Toyota,Hilux,3.0,4,4x4,125.0,Diésel,290000.0,Manual,3.0 D/cab 4x4 Srv Lim P/2,https://auto.mercadolibre.com.uy/MLU-480500841-toyota-hilux-30-dcab-4x4-srv-lim-p2-2006-_JM
3625,10800,Usado,-1.0,2015,Nissan,Frontier,2.4,4,4x2,-1.0,Nafta,118000.0,Manual,4x2 Lx,https://auto.mercadolibre.com.uy/MLU-480488318-nissan-frontier-4x2-lx-_JM
3626,9800,Usado,1591.0,2012,Kia,Cerato,1.6,4,Delantera,124.0,Nafta,150000.0,Manual,1.6 Forte 6mt,https://auto.mercadolibre.com.uy/MLU-480468729-kia-cerato-_JM
3627,18690,Usado,1598.0,2019,Volkswagen,Saveiro,1.6,2,Delantera,101.0,Nafta,20000.0,Manual,1.6 Cross Gp Cd 101cv,https://auto.mercadolibre.com.uy/MLU-480645129-volkswagen-saveiro-16-cross-gp-cd-101cv-2019-_JM
3628,3000,Usado,-1.0,1996,Fiat,Brava,,4,,-1.0,Nafta,350000.0,,1.4 12v,https://auto.mercadolibre.com.uy/MLU-480464043-fiat-brava-14-_JM
3629,12900,Usado,1587.0,2017,Citroën,C3,1.5,5,Delantera,90.0,Nafta,82000.0,Manual,1.5 Live 90cv,https://auto.mercadolibre.com.uy/MLU-480460090-citroen-c3-_JM
3630,16000,Usado,1596.0,2016,Ford,Ecosport,1.6,5,4x2,110.0,Nafta,93000.0,Manual,1.6 Se 110cv 4x2,https://auto.mercadolibre.com.uy/MLU-480651896-ford-ecosport-16-se-110cv-4x2-2016-_JM
3631,18000,Usado,-1.0,2009,Jeep,Patriot Limited,,5,,-1.0,Nafta,150000.0,,Patriot 2.4,https://auto.mercadolibre.com.uy/MLU-480454805-jeep-patriot-patriot-24-_JM
3632,20900,Usado,1984.0,2013,Volkswagen,Vento,2.0,4,Delantera,211.0,Nafta,150000.0,Manual,2.0 Tsi Gli,https://auto.mercadolibre.com.uy/MLU-480439041-volkswagen-vento-20-tsi-gli-2013-_JM
3633,5500,Usado,-1.0,2006,Renault,Clio,1.2,5,,-1.0,Nafta,140000.0,Manual,AUTHENTIQUE,https://auto.mercadolibre.com.uy/MLU-480435158-compramos-autos-al-da-o-con-deuda-_JM
3634,11500,Usado,1389.0,2015,Chevrolet,Prisma,1.4,4,Delantera,98.0,Nafta,70000.0,Automática,1.4 Ltz At 98cv,https://auto.mercadolibre.com.uy/MLU-480424519-chevrolet-prisma-14-ltz-at-98cv-2015-_JM
3635,2500,Usado,1.6,1992,Nissan,Sentra,1.6,4,Delantera,-1.0,Nafta,150000.0,Manual,Se Mt,https://auto.mercadolibre.com.uy/MLU-480424087-nissan-sentra-se-mt-1992-_JM
3636,4200,Usado,1495.0,1999,Hyundai,Accent,1.5,4,Delantera,92.0,Nafta,111111.0,Manual,1.5 Gls 4dr,https://auto.mercadolibre.com.uy/MLU-480423603-hyundai-accent-15-gls-4dr-1999-_JM
3637,34500,Usado,1968.0,2020,Volkswagen,Amarok,2.0,4,4x2,150.0,Nafta,6500.0,Manual,2.0 Tsi Highline,https://auto.mercadolibre.com.uy/MLU-480419087-volkswagen-amarok-20-tsi-highline-2020-_JM
3638,21900,Usado,-1.0,2016,Audi,A3,,5,,-1.0,Nafta,63000.0,,1.2 SB 1.2 TSFI,https://auto.mercadolibre.com.uy/MLU-89003621-audi-a3-12-sb-12-tsfi-_JM
3639,7900,Usado,-1.0,2012,Chevrolet,Corsa Classic,1.4,4,Delantera,-1.0,Nafta,47000.0,Manual,Standard,https://auto.mercadolibre.com.uy/MLU-480389996-chevrolet-corsa-classic-_JM
3640,8500,Usado,-1.0,2015,Peugeot,Bipper Furgón 1.4,,3,,-1.0,Nafta,97000.0,,Bipper,https://auto.mercadolibre.com.uy/MLU-480375132-peugeot-bipper-furgon-14-bipper-_JM
3641,24000,Usado,-1.0,2013,Hyundai,H1,,5,,-1.0,Diésel,1.0,,Grand starex van vi,https://auto.mercadolibre.com.uy/MLU-480369866-hyundai-h1-grand-starex-van-vi-_JM
3642,8500,Usado,-1.0,2015,Renault,Logan,,4,,-1.0,Nafta,170000.0,,Autentique,https://auto.mercadolibre.com.uy/MLU-480369628-renault-logan-autentique-_JM
3643,14800,Usado,1.6,2018,Faw,R7,1.6,5,Delantera,115.0,Nafta,43000.0,Manual,1.6 High Tech,https://auto.mercadolibre.com.uy/MLU-480360220-faw-r7-2018-16-high-tech-_JM
3644,9000,Usado,-1.0,2014,Chery,Fulwin,1.5,5,Delantera,-1.0,Nafta,43000.0,Manual,1.5 Full,https://auto.mercadolibre.com.uy/MLU-480326831-chery-_JM
3645,7500,Usado,1796.0,2012,Chevrolet,Montana,1.8,2,Delantera,105.0,Nafta,103000.0,Manual,1.8 Sport,https://auto.mercadolibre.com.uy/MLU-480325250-chevrolet-montana-18-sport-2012-_JM
3646,13300,Usado,1587.0,2013,Citroën,Berlingo,1.6,5,Delantera,110.0,Nafta,170000.0,Manual,1.6 Sx 110cv Am53,https://auto.mercadolibre.com.uy/MLU-480315876-citron-berlingo-16-sx-110cv-am53-2013-_JM
3647,13500,Usado,2393.0,2009,Suzuki,Grand Vitara,2.4,5,4x4,165.0,Nafta,138000.0,Manual,2.4 Jiii,https://auto.mercadolibre.com.uy/MLU-480313847-suzuki-grand-vitara-24-jiii-2009-_JM
3648,8500,Usado,-1.0,2009,Nissan,Tiida,,5,,-1.0,Nafta,120000.0,,2009,https://auto.mercadolibre.com.uy/MLU-480302913-nissan-tiida-2009-_JM
3649,18900,Usado,1998.0,2011,Mitsubishi,Lancer,2.0,4,Delantera,154.0,Nafta,158000.0,Automática,2.0 Gt 154cv At Cuero,https://auto.mercadolibre.com.uy/MLU-480283942-mitsubishi-lancer-20-gt-154cv-at-cuero-2011-_JM
3650,7500,Usado,1598.0,2011,Renault,Symbol,1.6,4,Delantera,105.0,Nafta,143000.0,Manual,1.6 Expression Pack Ii 105cv,https://auto.mercadolibre.com.uy/MLU-480282956-renault-symbol-16-expression-pack-ii-105cv-2011-_JM
3651,32000,Usado,2926.0,2006,BMW,X5,3.0,5,4x4,184.0,Diésel,165000.0,Manual,3.0 D Executive,https://auto.mercadolibre.com.uy/MLU-480282527-bmw-x5-2006-30-d-executive-_JM
3652,5400,Usado,1.0,1995,Fiat,Uno,1.0,3,Delantera,56.0,Nafta,178000.0,Manual,1.0 Mille,https://auto.mercadolibre.com.uy/MLU-480247200-fiat-uno-1995-10-mille-_JM
3653,8300,Usado,1.4,2011,Peugeot,Bipper,1.4,4,Delantera,75.0,Nafta,160000.0,Manual,1.4 Furgon Full,https://auto.mercadolibre.com.uy/MLU-480221312-peugeot-bipper-vendo-permuto-muy-buen-estado-_JM
3654,7990,Usado,1.0,2012,Suzuki,Celerio,1.0,5,Delantera,65.0,Nafta,97000.0,Manual,1.0 Ga 5p,https://auto.mercadolibre.com.uy/MLU-480218063-suzuki-celerio-ga-2012-vendo-permuto-financio-_JM
3655,6850,Usado,1389.0,2011,Chevrolet,Celta,1.4,3,Delantera,94.0,Nafta,118000.0,Manual,1.4 Ls,https://auto.mercadolibre.com.uy/MLU-480215984-chevrolet-celta-14-ls-2011-_JM
3656,19000,Usado,1968.0,2012,Volkswagen,Amarok,2.0,4,4x4,163.0,Diésel,275000.0,Manual,2.0 Cd Tdi 163cv 4x4 Highline 1h4,https://auto.mercadolibre.com.uy/MLU-480212344-amarok-diesel-4x4-_JM
3657,26900,Usado,1499.0,2018,Mini,Cooper,1.5,5,Delantera,136.0,Nafta,30000.0,Manual,1.5 F55 Pepper 136cv,https://auto.mercadolibre.com.uy/MLU-480194927-mini-cooper-2018-15-f55-pepper-136cv-_JM
3658,10811,Nuevo,1242.0,2020,Fiat,Fiorino,1.4,3,Delantera,68.0,Nafta,0.0,Manual,1.4 Furgon Forte,https://auto.mercadolibre.com.uy/MLU-480179354-fiat-fiorino-furgon-forte-14-0km-_JM
3659,14900,Usado,1998.0,2014,Mitsubishi,Lancer,2.0,4,Delantera,154.0,Nafta,78000.0,Manual,2.0 Gls 154cv Mt,https://auto.mercadolibre.com.uy/MLU-480130736-mitsubishi-lancer-20-gls-154cv-mt-2014-_JM
3660,10490,Usado,999.0,2018,Renault,Kwid,1.0,5,Delantera,66.0,Nafta,60000.0,Manual,1.0 Sce 66cv Intense,https://auto.mercadolibre.com.uy/MLU-480128753-renault-kwid-10-intense-permuto-financio-_JM
3661,12800,Usado,-1.0,2016,Volkswagen,Saveiro,,2,,-1.0,Nafta,135000.0,,2016,https://auto.mercadolibre.com.uy/MLU-480126311-volkswagen-saveiro-2016-_JM
3662,4600,Usado,-1.0,2011,Chery,Chery QQ,800,4,,-1.0,Nafta,121000.0,Manual,3,https://auto.mercadolibre.com.uy/MLU-480124441-chery-chery-qq-3-_JM
3663,25900,Usado,1998.0,2016,Hyundai,Tucson,2.0,5,4x2,166.0,Nafta,102000.0,Automática,2.0 Gl 6at 2wd,https://auto.mercadolibre.com.uy/MLU-480124231-hyundai-tucson-2016-20-gl-6at-2wd-_JM
3664,13500,Usado,2480.0,2009,Volkswagen,Vento Variant,2.5,4,Delantera,170.0,Nafta,207000.0,Automática,2.5 Advance Tipt 170cv,https://auto.mercadolibre.com.uy/MLU-480109624-volkswagen-vento-variant-25-at-170cv-2009-_JM
3665,8300,Usado,1.0,2014,Suzuki,Celerio,1.0,5,Delantera,65.0,Nafta,79700.0,Manual,1.0 Gl 5p,https://auto.mercadolibre.com.uy/MLU-480103659-suzuki-celerio-10-79000-km-reales-impecable-_JM
3666,15900,Usado,1598.0,2017,Volkswagen,Saveiro,1.6,2,Delantera,101.0,Nafta,81100.0,Manual,1.6 Cross Gp Cd 101cv,https://auto.mercadolibre.com.uy/MLU-480099920-volkswagen-saveiro-16-cross-gp-cd-101cv-2017-_JM
3667,13300,Usado,-1.0,2016,Mitsubishi,L200,2.4 Nafta,4,4x2,-1.0,Nafta,138000.0,Manual,4X2 triton flex,https://auto.mercadolibre.com.uy/MLU-480094250-mitsubishi-l200-_JM
3668,12500,Usado,1598.0,2017,Volkswagen,Saveiro,1.6,2,Delantera,101.0,Nafta,121000.0,Manual,1.6 Gp Cs 101cv,https://auto.mercadolibre.com.uy/MLU-480067532-volkswagen-saveiro-16-gp-cs-101cv-2017-_JM
3669,19000,Usado,-1.0,2015,Volkswagen,Amarok,,4,,-1.0,Nafta,180000.0,,TSI + PAQ SEGURIDAD,https://auto.mercadolibre.com.uy/MLU-480067493-volkswagen-amarok-tsi-paq-seguridad-_JM
3670,16900,Usado,1781.0,2013,Volkswagen,Bora,1.8,4,Delantera,180.0,Nafta,116000.0,Automática,1.8 Highline T 180cv Tiptronic,https://auto.mercadolibre.com.uy/MLU-480050030-volkswagen-bora-18-highline-t-180cv-tiptronic-2013-_JM
3671,11500,Usado,1596.0,2016,Ford,Fiesta Kinetic Design,1.6,5,Delantera,120.0,Nafta,116000.0,Manual,1.6 Se 120cv,https://auto.mercadolibre.com.uy/MLU-480042830-ford-fiesta-kinetic-design-16-se-120cv-_JM
3672,9490,Usado,-1.0,2010,Fiat,Palio Weekend,,5,,-1.0,Nafta,98000.0,,Trekking,https://auto.mercadolibre.com.uy/MLU-480041744-fiat-palio-weekend-trekking-_JM
3673,12900,Usado,2736.0,2008,Suzuki,Grand Vitara,2.7,5,4x4,183.0,Nafta,140000.0,Manual,2.7 Xl-7 V6,https://auto.mercadolibre.com.uy/MLU-480029713-suzuki-grand-vitara-2008-27-xl-7-v6-_JM
3674,5000,Usado,-1.0,2005,Chevrolet,Celta,1.0,5,,-1.0,Nafta,130000.0,Manual,1.0,https://auto.mercadolibre.com.uy/MLU-480014483-compramos-al-da-o-con-deuda-del-90-en-adelante-_JM
